Tweet id,Contenido,Fecha,Categoria,Autor username,Autor displayname,Autor location,Link,Likes,Respuestas,Retweets,Hashtags,Mentioned users,Topico
1727809392270278675,Patricia Bullrich será la ministra de Seguridad de Milei https://t.co/LhiEGHfPvG https://t.co/mhQXUpYFH4,2023-11-23 22:00:34+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727809392270278675,109,20,24,[],[],Politica
1727804765789397210,Graciela Camaño apuntó contra Randazzo: “Se va a tener que hacer cargo” https://t.co/ijFRcuSDWY https://t.co/4rCjT8LJwT,2023-11-23 21:42:11+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727804765789397210,8,4,0,[],[],Politica
1727798565794390266,Milei posterga su viaje a los Estados Unidos en medio de las turbulencias por el armado del gabinete https://t.co/Sd1VQYlTOD https://t.co/L657Lnl6Io,2023-11-23 21:17:33+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727798565794390266,10,1,1,[],[],Politica
1727794946055581782,La Corte dejó firme el cierre de la causa por el vaciamiento del Banco Mayo https://t.co/a5kZSa5Aw6 https://t.co/je1UsOIyen,2023-11-23 21:03:10+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727794946055581782,0,0,0,[],[],Politica
1727791399108800810,Jorge Macri define su gabinete con fuerte impronta Pro y la prioridad de finalizar el traspaso de competencias a la Ciudad https://t.co/q2ZMYK9sRw https://t.co/djdxpArXuZ,2023-11-23 20:49:05+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727791399108800810,4,1,0,[],[],Politica
1727774413419122959,"Ante el temor de un “vaciamiento” de la coparticipación, los gobernadores peronistas se reúnen el martes https://t.co/yaKoANvmWI https://t.co/wgvX3YiLp3",2023-11-23 19:41:35+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727774413419122959,5,2,0,[],[],Politica
1727764746215297274,Anses: Píparo anunció que se reunirá con Raverta por la transición con un mensaje para “los trabajadores que cumplen con sus tareas” https://t.co/u1GO8xRVUw https://t.co/rVk1eSa5RG,2023-11-23 19:03:10+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727764746215297274,5,0,1,[],[],Politica
1727764732399260086,Ordenan abrir 15 urnas para determinar quién ganó la elección por la intendencia de Pinamar https://t.co/ecoHdu8MRR https://t.co/Y96N0K6SZr,2023-11-23 19:03:07+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727764732399260086,0,0,0,[],[],Politica
1727758693054484654,Los piqueteros opositores reciben a Javier Milei con una protesta: marcharán el 19 y 20 de diciembre https://t.co/p58DDTCUq0 https://t.co/oacdG7VxqJ,2023-11-23 18:39:07+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727758693054484654,8,16,3,[],[],Politica
1727755041786986890,Los equipos de Milei suman a un funcionario de Schiaretti y buscan incorporar a dos más https://t.co/c3aOSy7WXU https://t.co/y408B5nOON,2023-11-23 18:24:36+00:00,Tweet,Politica_ln,LA NACION Política,Argentina,https://twitter.com/Politica_ln/status/1727755041786986890,9,1,3,[],[],Politica
