User id,Autor username,Autor displayname,Autor location,Fecha Creacion,Link,Verified,Followers,Following,Tweets
33936362,Politica_ln,LA NACION Política,Argentina,2009-04-21 15:26:47+00:00,https://twitter.com/Politica_ln,False,210151,121,77762
112523709,DiarioOle,Diario Olé,Argentina,2010-02-08 20:26:20+00:00,https://twitter.com/DiarioOle,False,3738359,580,378671
145722184,PaparazziRevis,Paparazzi,Buenos Aires,2010-05-19 18:15:25+00:00,https://twitter.com/PaparazziRevis,False,588196,654,585125
1384905072572878856,Economia_TN,TN Economía,Argentina,2021-04-21 16:22:05+00:00,https://twitter.com/Economia_TN,False,17026,7,13071
372433285,tnLaViola,TN La Viola,Argentina,2011-09-12 19:26:30+00:00,https://twitter.com/tnLaViola,False,189585,376,32304
44623555,TNTecno,TN Tecno,,2009-06-04 14:11:23+00:00,https://twitter.com/TNTecno,False,159076,10,22737
415613156,TNFamosos,TN Show,,2011-11-18 15:33:52+00:00,https://twitter.com/TNFamosos,False,228899,1236,63740
37831835,tndeportivo,TN Deportivo,Argentina,2009-05-05 02:18:48+00:00,https://twitter.com/tndeportivo,False,422006,241,45876
