Titulo,Contenido,Fecha,Fuente,Categoria,Autor,Link,Clasificacion,Narrativa
1722720790179651710,"🤳 En la recta final de la campaña presidencial, las caras de los candidatos están en todos lados. Escanealas desde el celular y escuchá lo que dicen sobre la desinformación electoral.

🟢 https://t.co/0B9SE7thtz

#ReversoAr https://t.co/kT64DArwtF",2023-11-09 21:00:17+00:00,https://twitter.com/ReversoAr/status/1722720790179651710,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722720790179651710,Tweet,
1722665132537373097,"[NUEVO] No, Sergio Massa no toma cocaína en este video: la grabación está manipulada ❌

Se basa en otra que circula desde, al menos, 2016, y fue manipulada para reemplazar al hombre original con la imagen y la voz de Massa. https://t.co/cKEIUtq5U3

✍ @lugardel",2023-11-09 17:19:07+00:00,https://twitter.com/ReversoAr/status/1722665132537373097,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722665132537373097,Tweet,
1722625338826707450,"Qué dice la ley sobre los anuncios de gobierno durante el período de veda electoral

El Código Electoral de la Nación prohíbe la publicidad de los actos de gobierno hasta 25 días antes de las elecciones PASO y generales. https://t.co/FKgFcK2EPY

✍️ @Jose__Gimenez .",2023-11-09 14:41:00+00:00,https://twitter.com/ReversoAr/status/1722625338826707450,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722625338826707450,Tweet,
1722572491137196095,"Esta imagen que muestra una supuesta herida provocada por Sergio Massa en LN+ es de 2020 y no está relacionada con el candidato

La foto circula desde, al menos, 2020, asociada a una agresión policial en Santiago del Estero.
https://t.co/4gK53HfJOa

✍️ @AfpFactual",2023-11-09 11:11:00+00:00,https://twitter.com/ReversoAr/status/1722572491137196095,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722572491137196095,Tweet,
1722345534550061140,"¿Cómo detectar placas falsas? 🤔

📌 En este video 📽️ y en esta nota te dejamos algunas recomendaciones para evitar caer en desinformaciones. https://t.co/1lc7TTuVmE

📽️ @MatiFeran
🎨 @sanquinter https://t.co/fjohPQq1Mh",2023-11-08 20:09:09+00:00,https://twitter.com/ReversoAr/status/1722345534550061140,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722345534550061140,Tweet,
1722284543275597987,"[NUEVO] Es falso que Sergio Massa anunció la eliminación de los planes sociales

El Gobierno transfirió el ""Potenciar Trabajo"" desde Desarrollo Social a Trabajo. No implica la eliminación del programa ni de los planes.
✒️ @Jose__Gimenez y @RosarioMarina_

https://t.co/N7hMWBpuSH",2023-11-08 16:06:48+00:00,https://twitter.com/ReversoAr/status/1722284543275597987,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722284543275597987,Tweet,
1722210104748155026,"Elecciones 2023: cómo se contabiliza el voto en blanco en el balotaje

🗳 Los votos se cuentan sobre los “votos afirmativos válidamente emitidos”, es decir, los que eligen  una boleta de candidatos.
https://t.co/jJADwA6yeG

✍️ @lugardel en @ReversoAr",2023-11-08 11:11:00+00:00,https://twitter.com/ReversoAr/status/1722210104748155026,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722210104748155026,Tweet,
1722018659172839685,"Sumate a la lucha contra la desinformación electoral.

🤳 Escaneá desde el celular el rostro de los candidatos que se preparan para el balotaje y escuchá lo que dicen sobre las narrativas desinformantes que los afectan.

🟢 https://t.co/0B9SE7thtz

#ReversoAr https://t.co/Shnqj2YUDy",2023-11-07 22:30:16+00:00,https://twitter.com/ReversoAr/status/1722018659172839685,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722018659172839685,Tweet,
1722007987059835332,"[NUEVO] Esta imagen que muestra una supuesta herida provocada por Sergio Massa en LN+ es de 2020 y no está relacionada con el candidato

La foto circula desde, al menos, 2020, asociada a una agresión policial en Santiago del Estero.
https://t.co/4gK53HfJOa

✍️ @AfpFactual",2023-11-07 21:47:52+00:00,https://twitter.com/ReversoAr/status/1722007987059835332,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1722007987059835332,Tweet,
1721981916650340564,"No, Lionel Messi no apoyó públicamente a Sergio Massa, como afirman estas placas falsas 

❌ No hay registros de que el jugador haya hecho tales declaraciones de manera pública, tras los resultados de las elecciones generales. 
https://t.co/n0FAbbxv2G 

✍️ @IgnacioCorral .",2023-11-07 20:04:16+00:00,https://twitter.com/ReversoAr/status/1721981916650340564,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1721981916650340564,Tweet,
1721620721598595512,"Es falso que la madre de Lucio Dupuy llamó a votar a Sergio Massa desde la cárcel; el video data de 2021 y no alude al candidato ❌

El video original fue subido a TikTok en enero de 2021 y no cuenta con referencias políticas. https://t.co/MGnNTv1GB5

✍️ @AfpFactual .",2023-11-06 20:09:00+00:00,https://twitter.com/ReversoAr/status/1721620721598595512,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1721620721598595512,Tweet,
1721485329952076092,"Qué dice la ley sobre los anuncios de gobierno durante el período de veda electoral

El Código Electoral de la Nación prohíbe la publicidad de los actos de gobierno hasta 25 días antes de las elecciones PASO y generales. https://t.co/FKgFcK270q

✍️ @Jose__Gimenez .",2023-11-06 11:11:00+00:00,https://twitter.com/ReversoAr/status/1721485329952076092,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1721485329952076092,Tweet,
1721258332491563083,"No, esta supuesta noticia de un portal de China no anuncia la venta de Vaca Muerta a ese país 

➡️ La traducción del artículo evidencia que no se trata de una noticia relacionada ni con Vaca Muerta ni con la Argentina. 
https://t.co/fNUPWqyTzD 

✍️ @IgnacioCorral",2023-11-05 20:09:00+00:00,https://twitter.com/ReversoAr/status/1721258332491563083,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1721258332491563083,Tweet,
1721122940983419059,"Es falso que este video fue filmado en Rosario durante una marcha “contra el fraude electoral”; es del Mundial 2022 ❌

El video original fue grabado el 18 de diciembre de 2022, tras ganar la Argentina el Mundial de Qatar.  https://t.co/UYJZiwdUxd

✍️@depuntocorti",2023-11-05 11:11:00+00:00,https://twitter.com/ReversoAr/status/1721122940983419059,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1721122940983419059,Tweet,
1720895943363465535,"Qué dice la ley sobre los anuncios de gobierno durante el período de veda electoral

El Código Electoral de la Nación prohíbe la publicidad de los actos de gobierno hasta 25 días antes de las elecciones PASO y generales. https://t.co/FKgFcK270q

✍️ @Jose__Gimenez",2023-11-04 20:09:00+00:00,https://twitter.com/ReversoAr/status/1720895943363465535,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720895943363465535,Tweet,
1720811892694712629,"No, Lionel Messi no apoyó públicamente a Sergio Massa, como afirman estas placas falsas 

❌ No hay registros de que el jugador haya hecho tales declaraciones de manera pública, tras los resultados de las elecciones generales. 
https://t.co/n0FAbbxv2G 

✍️ @IgnacioCorral",2023-11-04 14:35:01+00:00,https://twitter.com/ReversoAr/status/1720811892694712629,Tweet,ReversoAr,https://twitter.com/ReversoAr/status/1720811892694712629,Tweet,
